ConfirmFirstMeasureToSideOfTable()
Table measured at :97
ConfirmFirstMeasureToSideOfTable() - done
MoveTableToScanStartPosition()
Moving table to upper limit
Moving table to upper limit - done
MoveTableToScanStartPosition() - done
Press confirm to begin scan?
PerformScan
Revolution 0
10:18 touched True steps 360
10:19 touched True steps 364
10:20 touched True steps 368
10:21 touched True steps 373
10:22 touched True steps 381
10:23 touched True steps 381
10:24 touched True steps 381
10:25 touched True steps 381
10:26 touched True steps 386
10:27 touched True steps 387
10:28 touched True steps 388
10:29 touched True steps 383
10:30 touched True steps 384
10:31 touched True steps 386
10:32 touched True steps 389
10:33 touched True steps 390
10:34 touched True steps 390
10:35 touched True steps 390
10:36 touched True steps 387
10:37 touched True steps 386
10:38 touched True steps 387
10:39 touched True steps 380
10:40 touched True steps 387
10:41 touched True steps 391
10:42 touched True steps 392
10:43 touched True steps 391
10:44 touched True steps 391
10:45 touched True steps 389
10:46 touched True steps 384
10:47 touched True steps 376
10:48 touched True steps 371
10:49 touched True steps 362
10:50 touched True steps 360
Revolution 11
11:0 touched True steps 357
11:1 touched True steps 358
11:2 touched True steps 360
11:3 touched True steps 364
11:4 touched True steps 365
11:5 touched True steps 366
11:6 touched True steps 366
11:7 touched True steps 367
11:8 touched True steps 367
11:9 touched True steps 364
11:10 touched True steps 361
11:11 touched True steps 359
11:12 touched True steps 359
11:13 touched True steps 360
11:14 touched True steps 361
11:15 touched True steps 369
11:16 touched True steps 367
11:17 touched True steps 366
11:18 touched True steps 365
11:19 touched True steps 368
11:20 touched True steps 374
11:21 touched True steps 383
11:22 touched True steps 382
11:23 touched True steps 382
11:24 touched True steps 382
11:25 touched True steps 383
11:26 touched True steps 383
11:27 touched True steps 388
11:28 touched True steps 392
11:29 touched True steps 393
11:30 touched True steps 385
11:31 touched True steps 388
11:32 touched True steps 390
11:33 touched True steps 393
11:34 touched True steps 388
11:35 touched True steps 389
11:36 touched True steps 391
11:37 touched True steps 388
11:38 touched True steps 390
11:39 touched True steps 387
11:40 touched True steps 391
11:41 touched True steps 390
11:42 touched True steps 390
11:43 touched True steps 388
11:44 touched True steps 387
11:45 touched True steps 383
11:46 touched True steps 380
11:47 touched True steps 376
11:48 touched True steps 374
11:49 touched True steps 360
11:50 touched True steps 359
Revolution 12
12:0 touched True steps 359
12:1 touched True steps 360
12:2 touched True steps 364
12:3 touched True steps 368
12:4 touched True steps 370
12:5 touched True steps 370
12:6 touched True steps 370
12:7 touched True steps 369
12:8 touched True steps 369
12:9 touched True steps 366
12:10 touched True steps 363
12:11 touched True steps 365
12:12 touched True steps 366
12:13 touched True steps 368
12:14 touched True steps 369
12:15 touched True steps 368
12:16 touched True steps 369
12:17 touched True steps 381
12:18 touched True steps 384
12:19 touched True steps 385
12:20 touched True steps 384
12:21 touched True steps 382
12:22 touched True steps 382
12:23 touched True steps 383
12:24 touched True steps 387
12:25 touched True steps 386
12:26 touched True steps 392
12:27 touched True steps 392
12:28 touched True steps 393
12:29 touched True steps 393
12:30 touched True steps 396
12:31 touched True steps 395
12:32 touched True steps 395
12:33 touched True steps 394
12:34 touched True steps 392
12:35 touched True steps 392
12:36 touched True steps 393
12:37 touched True steps 391
12:38 touched True steps 392
12:39 touched True steps 391
12:40 touched True steps 393
12:41 touched True steps 395
12:42 touched True steps 399
12:43 touched True steps 398
12:44 touched True steps 396
12:45 touched True steps 394
12:46 touched True steps 392
12:47 touched True steps 388
12:48 touched True steps 385
12:49 touched True steps 361
12:50 touched True steps 361
Revolution 13
13:0 touched True steps 360
13:1 touched True steps 362
13:2 touched True steps 366
13:3 touched True steps 369
13:4 touched True steps 372
13:5 touched True steps 373
13:6 touched True steps 372
13:7 touched True steps 372
13:8 touched True steps 370
13:9 touched True steps 366
13:10 touched True steps 365
13:11 touched True steps 367
13:12 touched True steps 368
13:13 touched True steps 371
13:14 touched True steps 371
13:15 touched True steps 378
13:16 touched True steps 382
13:17 touched True steps 383
13:18 touched True steps 386
