Table Homed
ConfirmFirstMeasureToSideOfTable()
Table measured at :96
ConfirmFirstMeasureToSideOfTable() - done
MoveTableToScanStartPosition()
Moving table to upper limit
Moving table to upper limit - done
MoveTableToScanStartPosition() - done
Press confirm to begin scan?
PerformScan
Revolution 0
9:34 touched False steps 490
9:35 touched False steps 490
9:36 touched False steps 490
9:37 touched False steps 490
9:38 touched False steps 490
9:39 touched False steps 490
9:40 touched False steps 490
9:41 touched False steps 490
9:42 touched False steps 490
9:43 touched False steps 490
9:44 touched False steps 490
9:45 touched False steps 490
9:46 touched False steps 490
9:47 touched False steps 490
9:48 touched False steps 490
9:49 touched False steps 490
9:50 touched False steps 490
